"variable","n_nonblank","blank_in_cases","blank_in_controls","n_code_99","n_code_88","n_distinct","example","availability"
"record_id",11740,0,0,0,0,11740,"[redacted: identifier]","both cohorts"
"clinic_number",9122,2618,0,0,0,9122,"[redacted: identifier]","CONTROLS ONLY"
"group",11740,0,0,0,0,2,"1 | 0","both cohorts"
"group_label",11740,0,0,0,0,2,"IIH case | Matched control","both cohorts"
"sex",11740,0,0,0,0,2,"M | F","both cohorts"
"match_set",11740,0,0,0,0,2618,"[redacted: identifier]","both cohorts"
"match_tier",9122,2618,0,0,0,7,"0_full | 2_bmi5 | 4_age5 | 3_year3","CONTROLS ONLY"
"index_date",11740,0,0,0,0,1808,"2002-05-14 | 2002-06-07 | 2003-03-06 | 2003-05-02","both cohorts"
"age_index",11740,0,0,0,0,399,"15 | 20 | 14 | 17","both cohorts"
"bmi_index",11740,0,0,0,0,730,"20.4 | 32.8 | 37.04 | 29.02","both cohorts"
"race",9121,2618,1,0,0,30,"Asian Indian | White | Black or African American | Other","CONTROLS ONLY"
"ethnicity",9120,2618,2,0,0,11,"Not Hispanic or Latino | Other Spanish culture of origin regardless of race | Hispanic or Latino | Choose Not to Disclose","CONTROLS ONLY"
"event",11740,0,0,0,0,2,"0 | 1","both cohorts"
"lat_days",166,2516,9058,0,0,152,"7553 | 895 | 704 | 3513","both cohorts"
"t_y",11740,0,0,0,0,3615,"22.9678302532512 | 23.5482546201232 | 14.49418206707734 | 22.82272416153319","both cohorts"
"last_encounter",11740,0,0,0,0,1749,"2025-10-29 | 2026-06-22 | 2018-03-01 | 2026-08-25","both cohorts"
"death_date",174,2575,8991,0,0,171,"2024-09-24 | 2019-08-09 | 2012-07-11 | 2025-06-27","both cohorts"
"n_encounters",11740,0,0,22,33,855,"326 | 255 | 199 | 705","both cohorts"
"censoring_verifiable",11740,0,0,0,0,1,"1","both cohorts"
"carpal_incident",10446,0,1294,0,0,2,"1 | 0","both cohorts"
"e3",11740,0,0,0,0,2,"0 | 1","both cohorts"
"t3",11740,0,0,0,0,1072,"3 | 1.957563312799453 | 1.434633812457221 | 2.937713894592745","both cohorts"
"e5",11740,0,0,0,0,2,"0 | 1","both cohorts"
"t5",11740,0,0,0,0,1768,"5 | 1.957563312799453 | 3.879534565366188 | 1.434633812457221","both cohorts"
"osa",11740,0,0,0,0,2,"0 | 1","both cohorts"
"pcos",11740,0,0,0,0,2,"0 | 1","both cohorts"
"htn",11740,0,0,0,0,2,"0 | 1","both cohorts"
"smoking",11332,16,392,0,0,7,"Never | Unknown | Former | Current","both cohorts"
"bariatric",11740,0,0,0,0,2,"0 | 1","both cohorts"
"bariatric_date",217,2618,8905,0,0,206,"2021-02-17 | 2018-10-26 | 2021-03-25 | 2018-05-18","CONTROLS ONLY"
"mri_brain_ever",9122,2618,0,0,0,2,"0.0 | 1.0","CONTROLS ONLY"
"mri_brain_first_date",1132,2618,7990,0,0,965,"2022-11-09 | 2018-04-12 | 2024-04-19 | 2023-11-18","CONTROLS ONLY"
"mri_brain_n",9122,2618,0,0,0,14,"0.0 | 1.0 | 8.0 | 3.0","CONTROLS ONLY"
"op_cmh2o",1913,705,9122,0,0,170,"25 | 14 | 24 | 28","CASES ONLY"
"enceph_index",2618,0,9122,0,2552,2,"1 | 0","CASES ONLY"
"enceph_side",43,2575,9122,0,0,3,"3 | 1 | 2","CASES ONLY"
"enceph_site",43,2575,9122,0,0,4,"1 | 3 | 4 | 5","CASES ONLY"
"empty_sella",2618,0,9122,1894,0,2,"1 | 0","CASES ONLY"
"globe_flat",2618,0,9122,2306,0,2,"0 | 1","CASES ONLY"
"onsd_distend",2618,0,9122,1912,0,2,"0 | 1","CASES ONLY"
"sinus_sten",2618,0,9122,1823,0,3,"2 | 1 | 0","CASES ONLY"
"skullbase_thin",2618,0,9122,2588,0,2,"1 | 0","CASES ONLY"
"csf_leak",2618,0,9122,491,0,2,"0 | 1","CASES ONLY"
"mrv_done",2618,0,9122,1182,0,2,"0 | 1","CASES ONLY"
"eeg_done",2618,0,9122,2225,0,2,"1 | 0","CASES ONLY"
"eeg_epileptiform",2618,0,9122,2404,0,2,"0 | 1","CASES ONLY"
"eeg_side",2618,0,9122,2216,388,4,"4 | 2 | 1 | 3","CASES ONLY"
"temporal_onset",2618,0,9122,2426,0,2,"0 | 1","CASES ONLY"
"concordant",2618,0,9122,0,2616,2,"0 | 1","CASES ONLY"
"shunt",11740,0,0,0,0,2,"0 | 1","both cohorts"
"stent",11740,0,0,0,0,2,"0 | 1","both cohorts"
"enc_pre12",11740,0,0,3,9,318,"4 | 15 | 30 | 35","both cohorts"
"enc_post",11740,0,0,10,17,930,"312 | 192 | 108 | 703","both cohorts"
"first_encounter_date",2618,0,9122,0,0,2141,"1995-08-08 | 1995-04-09 | 1997-12-16 | 2003-03-28","CASES ONLY"
"n_encounters_total",2618,0,9122,11,9,816,"329.0 | 461.0 | 295.0 | 983.0","CASES ONLY"
"seizure_date",166,2516,9058,0,0,164,"2024-09-05 00:00:00 | 2009-12-03 00:00:00 | 2010-06-21 00:00:00 | 2018-12-04 00:00:00","both cohorts"
"in_analysis",11740,0,0,0,0,1,"1","both cohorts"
"female",11740,0,0,0,0,2,"0 | 1","both cohorts"
