"Role","Source file"
"cases_workbook","IIH__1_FILLED__2_.xlsx (Data_Collection)"
"case_encounters","MDE_Workflow_Results_for_Encounters__12_.csv"
"case_carpal","MDE_Workflow_Results_for_Diagnosis__11_.csv"
"female_ctl_pool","AAA.csv"
"female_ctl_dx","MDE_Workflow_Results_for_Diagnosis__9_.csv"
"female_ctl_conditions","MDE_Workflow_Results_for_Conditions__9_.csv"
"female_ctl_meds","MDE_Workflow_Results_for_Medications_Administered__3_.csv"
"female_ctl_encounters","MDE_Workflow_Results_for_Encounters__9_.csv"
"female_ctl_carpal","MDE_Workflow_Results_for_Diagnosis__10_.csv"
"male_ctl_pool","MDE_Workflow_Results_for_Diagnosis_Flowsheets__2_.csv"
"male_ctl_dx","MDE_Workflow_Results_for_Diagnosis__55_.csv"
"male_ctl_meds","MDE_Workflow_Results_for_Medications_Administered__7_.csv"
"male_ctl_encounters","MDE_Workflow_Results_for_Encounters__11_.csv"
