"Variable","Definition"
"group","1 = IIH case, 0 = matched control"
"match_set","Case record_id linking each control to its case"
"index_date","Cases: diagnostic LP date. Controls: inherited from the matched case"
"event","PRIMARY OUTCOME <U+2014> incident seizure/epilepsy after the 180-day washout"
"lat_days","Days from index to first seizure"
"t_y","Person-time in years, from day 180 to event / death / last attended encounter"
"last_encounter","Last ATTENDED encounter. Scheduled future appointments excluded"
"censoring_verifiable","1 = an attended encounter date exists to censor on"
"carpal_incident","Negative control outcome. NOT extracted for male controls <U+2014> female pairs only"
"enc_pre12 / enc_post","Encounters in the 12 months before index / after index"
"osa, pcos, htn, smoking, bariatric","Comorbidities; controls derived from MDE extracts"
"op_cmh2o, enceph_*, eeg_*","Cases only <U+2014> not available for controls"
