"model","term","estimate","se","z","p_fmt"
"multivariable (full)","iih","4.27 (2.68 to 6.80)",0.252,6.1,"<0.001"
"multivariable (full)","age_index","0.98 (0.97 to 1.00)",0.0098,-1.8,"0.071"
"multivariable (full)","bmi_index","0.99 (0.96 to 1.02)",0.0142,-0.78,"0.435"
"multivariable (full)","sexM","1.19 (0.70 to 2.03)",0.261,0.63,"0.526"
"multivariable (full)","osa","1.37 (0.84 to 2.21)",0.2452,1.27,"0.203"
"multivariable (full)","htn","1.30 (0.76 to 2.20)",0.2522,0.96,"0.337"
"multivariable (full)","pcos","0.75 (0.36 to 1.55)",0.3761,-0.78,"0.434"
"multivariable (full)","log_enc_pre","0.89 (0.75 to 1.06)",0.0864,-1.3,"0.194"
"multivariable (parsimonious)","iih","3.48 (2.41 to 5.04)",0.1919,6.64,"<0.001"
"multivariable (parsimonious)","age_index","0.98 (0.97 to 1.00)",0.0098,-1.82,"0.069"
"multivariable (parsimonious)","bmi_index","0.99 (0.96 to 1.02)",0.0141,-0.77,"0.439"
"multivariable (parsimonious)","sexM","1.19 (0.70 to 2.03)",0.26,0.64,"0.520"
"multivariable (parsimonious)","osa","1.35 (0.84 to 2.15)",0.2402,1.25,"0.212"
"multivariable (parsimonious)","htn","1.29 (0.77 to 2.17)",0.2471,0.98,"0.326"
"multivariable (parsimonious)","pcos","0.72 (0.35 to 1.50)",0.3756,-0.87,"0.384"
"multivariable, stratified by matched set","iih","5.15 (2.85 to 9.32)",0.3026,5.42,"<0.001"
"multivariable, stratified by matched set","age_index","1.06 (0.81 to 1.38)",0.1379,0.4,"0.692"
"multivariable, stratified by matched set","bmi_index","0.91 (0.73 to 1.14)",0.1123,-0.8,"0.423"
"multivariable, stratified by matched set","sexM","NA (NA to NA)",0,NA,NA
"multivariable, stratified by matched set","osa","1.30 (0.67 to 2.54)",0.3413,0.77,"0.438"
"multivariable, stratified by matched set","htn","1.11 (0.60 to 2.07)",0.3169,0.34,"0.732"
"multivariable, stratified by matched set","pcos","0.53 (0.19 to 1.45)",0.5193,-1.24,"0.215"
"multivariable, stratified by matched set","log_enc_pre","0.89 (0.72 to 1.10)",0.1076,-1.08,"0.281"
