"variable","type","iih","control","smd","balance","note"
"Age at index, y","continuous","34.7 (10.2)","34.9 (9.7)",-0.017,"balanced (|SMD|<0.1)",""
"BMI, kg/m2","continuous","36.3 (7.3)","36.4 (6.6)",-0.001,"balanced (|SMD|<0.1)",""
"Female","binary","2273 (86.8%)","7828 (85.8%)",0.029,"balanced (|SMD|<0.1)",""
"Index year","continuous","2019.5 (4.4)","2019.4 (4.5)",0.025,"balanced (|SMD|<0.1)",""
"Obstructive sleep apnoea","binary","702 (26.8%)","1151 (12.6%)",0.363,"IMBALANCED",""
"Hypertension","binary","520 (19.9%)","1264 (13.9%)",0.161,"IMBALANCED",""
"PCOS","binary","292 (11.2%)","593 (6.5%)",0.165,"IMBALANCED",""
"Encounters, 12 mo pre-index","continuous","27.3 (36.1)","7.7 (19.3)",0.676,"IMBALANCED",""
"Encounters post-index (POST-EXPOSURE)","continuous","171.4 (232.9)","35.1 (57.8)",0.804,"IMBALANCED","post-index; not a matching target; imbalance expected"
"Post-washout follow-up, y (POST-EXPOSURE)","continuous","4.9 (4.0)","3.8 (3.1)",0.315,"IMBALANCED","post-index; not a matching target; imbalance expected"
