"variable","pct_missing_iih","pct_missing_control","difference","assessment"
"age_index",0,0,0,"comparable"
"bmi_index",0,0,0,"comparable"
"sex",0,0,0,"comparable"
"op_cmh2o",26.93,100,73.07,"STRUCTURAL -- one cohort only, never impute"
"enc_pre12",0.23,0.07,0.16,"comparable"
"enc_post",0.34,0.2,0.14,"comparable"
"osa",0,0,0,"comparable"
"htn",0,0,0,"comparable"
"pcos",0,0,0,"comparable"
"smoking",0.61,100,99.39,"STRUCTURAL -- one cohort only, never impute"
"carpal_incident",0,14.19,14.19,"differential -- handle with care"
"t_y",0,0,0,"comparable"
"event",0,0,0,"comparable"
