"analysis","status","n","events","estimate","p","note"
"Primary: Cox, 3-year","PRE-SPECIFIED",11740,115,"3.66 (2.55 to 5.25)","<0.001",""
"Landmark: further 1 year(s) after washout","PRE-SPECIFIED",10256,63,"3.21 (1.97 to 5.24)","<0.001","Probes reverse causation and work-up detection."
"Landmark: further 2 year(s) after washout","PRE-SPECIFIED",7829,39,"5.07 (2.64 to 9.73)","<0.001","Probes reverse causation and work-up detection."
"Female sets only","PRE-SPECIFIED",10101,95,"3.19 (2.14 to 4.76)","<0.001",""
"Male sets only","PRE-SPECIFIED",1639,20,"7.22 (3.02 to 17.26)","<0.001","Male matching used no calendar-year constraint (protocol v2.0 change #6)."
"Stratified by matched set","PRE-SPECIFIED",11740,115,"4.17 (2.84 to 6.13)","<0.001",""
"IPTW on propensity score","PRE-SPECIFIED",11740,115,"3.69 (2.57 to 5.30)","<0.001",""
"Adjusted for pre-index encounters (valid confounder)","PROTOCOL-DERIVED",11728,114,"4.41 (2.80 to 6.97)","<0.001",""
"Adjusted for post-index encounters (CONSERVATIVE BOUND ONLY)","PRE-SPECIFIED",11713,115,"1.60 (1.02 to 2.51)","0.039","Mediator adjustment; NOT a causal estimate. A lower bound only."
"Controls restricted to top quartile of post-index encounters","PRE-SPECIFIED",4946,83,"2.30 (1.42 to 3.73)","<0.001",""
"Full 1:4 sets only","POST HOC",8050,88,"3.41 (2.25 to 5.16)","<0.001",""
"Index year >= 2010","POST HOC",11404,109,"3.67 (2.53 to 5.32)","<0.001",""
"5-year horizon","PRE-SPECIFIED",11740,138,"4.09 (2.93 to 5.70)","<0.001",""
"Full follow-up","PRE-SPECIFIED",11740,166,"4.67 (3.43 to 6.35)","<0.001","Check PH first."
