"cohort","outcome","model","n","events_iih","events_ctl","estimate","p","hr","lo","hi"
"FULL","seizure","Cox, 3-year",11740,60,55,"3.66 (2.55 to 5.25)","<0.001",3.6570684852627,2.54555144252303,5.25393032035755
"FULL","seizure","Cox, stratified",11740,60,55,"4.17 (2.84 to 6.13)","<0.001",4.17229895897873,2.83919771898301,6.13133720371208
"FULL","seizure","Cox, adjusted",11740,60,55,"3.48 (2.41 to 5.04)","<0.001",3.48380011335468,2.41011229196246,5.03580819461634
"FULL","seizure","Cox, adjusted + smoking",11740,60,55,"3.30 (2.21 to 4.93)","<0.001",3.30259563570592,2.21204333432924,4.93079758597549
"FULL","carpal","NEGATIVE CONTROL, 3-year",11556,40,51,"2.60 (1.73 to 3.91)","<0.001",2.6015891861202,1.73234898050213,3.90698777758726
"FULL","carpal","NEGATIVE CONTROL, stratified",11556,40,51,"2.65 (1.71 to 4.10)","<0.001",2.64681075448695,1.70736404984988,4.10317130121355
"ENGAGED","seizure","Cox, 3-year",6643,59,15,"5.58 (3.15 to 9.87)","<0.001",5.57671600013523,3.15074795034467,9.8705963905371
"ENGAGED","seizure","Cox, stratified",6643,59,15,"5.33 (2.82 to 10.07)","<0.001",5.32952474803792,2.82114950000357,10.0681775424921
"ENGAGED","seizure","Cox, adjusted",6643,59,15,"5.24 (2.95 to 9.29)","<0.001",5.23649115056752,2.95169267395812,9.2898694406425
"ENGAGED","seizure","Cox, adjusted + smoking",6643,59,15,"5.63 (3.00 to 10.58)","<0.001",5.63080975957784,2.99644437338395,10.5812137979891
"ENGAGED","carpal","NEGATIVE CONTROL, 3-year",6471,40,20,"2.66 (1.58 to 4.47)","<0.001",2.65852295177512,1.58190732675421,4.4678624124062
"ENGAGED","carpal","NEGATIVE CONTROL, stratified",6471,40,20,"2.83 (1.58 to 5.06)","<0.001",2.83271083222611,1.58495790322715,5.06275317639218
