"cohort","variable","iih","control","smd","balanced"
"FULL","Age",34.7,34.87,-0.017,"yes"
"FULL","BMI",36.35,36.35,-0.001,"yes"
"FULL","Female",0.87,0.86,0.029,"yes"
"FULL","OSA",0.27,0.13,0.363,"NO"
"FULL","Hypertension",0.2,0.14,0.161,"NO"
"FULL","PCOS",0.11,0.07,0.165,"NO"
"FULL","Pre-index encounters",27.3,7.74,0.676,"NO"
"ENGAGED","Age",34.72,35.65,-0.095,"yes"
"ENGAGED","BMI",36.34,36.19,0.022,"yes"
"ENGAGED","Female",0.87,0.88,-0.051,"yes"
"ENGAGED","OSA",0.27,0.16,0.275,"NO"
"ENGAGED","Hypertension",0.2,0.17,0.081,"yes"
"ENGAGED","PCOS",0.11,0.08,0.122,"NO"
"ENGAGED","Pre-index encounters",27.36,17.48,0.315,"NO"
