"model","n","events","estimate","p"
"PRIMARY: Cox, 3-year",6643,74,"5.58 (3.15 to 9.87)","<0.001"
"Stratified by matched set",6643,74,"5.33 (2.82 to 10.07)","<0.001"
"IPTW (stabilised, trimmed)",6643,74,"5.05 (2.83 to 9.03)","<0.001"
"+ age, BMI, sex",6643,74,"5.53 (3.12 to 9.79)","<0.001"
"+ comorbidity",6643,74,"5.24 (2.95 to 9.29)","<0.001"
"+ smoking",6643,74,"5.63 (3.00 to 10.58)","<0.001"
"+ pre-index contact",6643,74,"5.49 (3.09 to 9.77)","<0.001"
"+ post-index contact (BOUND ONLY)",6623,74,"2.52 (1.28 to 4.95)","0.007"
"Female sets",5832,58,"5.43 (2.87 to 10.29)","<0.001"
"Male sets",811,16,"5.80 (1.64 to 20.47)","0.006"
"Controls in top quartile of post-index contact",3621,69,"2.16 (1.10 to 4.24)","0.025"
"Index year >= 2010",6548,71,"5.42 (3.05 to 9.63)","<0.001"
"5-year horizon",6643,92,"6.18 (3.59 to 10.62)","<0.001"
"Full follow-up",6643,116,"6.74 (3.97 to 11.46)","<0.001"
"SECONDARY: full cohort (unrestricted controls)",11740,115,"3.66 (2.55 to 5.25)","<0.001"
