"encounter_type","case_rows","comparator_rows","classified_as"
"Patient Message",142956,130863,"administrative (excluded)"
"Appointment",107900,109850,"clinical visit (counted)"
"Hospital Encounter",108390,70083,"clinical visit (counted)"
"Clinical Communication",71235,74767,"administrative (excluded)"
"History",65037,63184,"administrative (excluded)"
"AZ/FL Conversion Encounter",20812,87350,"administrative (excluded)"
"Procedure Pass",47132,49335,"clinical visit (counted)"
"Orders Only",45595,46971,"administrative (excluded)"
"Recurring Plan",48630,38051,"administrative (excluded)"
"Clinic",63219,6519,"clinical visit (counted)"
"Reconciled Outside Data",33926,32750,"administrative (excluded)"
"Pharmacy Visit",44831,18872,"clinical visit (counted)"
"Office Visit",35347,23153,"clinical visit (counted)"
"Ancillary Procedure",27341,27266,"clinical visit (counted)"
"Account-less",44676,2903,"administrative (excluded)"
"Refill",27230,17019,"administrative (excluded)"
"RST Conversion Encounter",36078,4065,"administrative (excluded)"
"Comprehensive Visit",17846,21652,"clinical visit (counted)"
"Wait List",19106,19191,"administrative (excluded)"
"Ancillary Orders",16082,18537,"administrative (excluded)"
"Clinic Outpatient",28040,477,"clinical visit (counted)"
"Telemedicine",12027,14289,"clinical visit (counted)"
"Letter (Out)",11150,11293,"administrative (excluded)"
"Historical Appointment",8674,12624,"administrative (excluded)"
"MCHS Conversion Encounter",12905,5421,"administrative (excluded)"
"Clinical Support",6216,6087,"administrative (excluded)"
"Documentation",5184,5896,"administrative (excluded)"
"Results Follow-Up",4738,4955,"administrative (excluded)"
"Nurse Only",2984,5598,"clinical visit (counted)"
"Emergency",4539,2614,"clinical visit (counted)"
"Anesthesia",2989,3836,"clinical visit (counted)"
"Anesthesia Event",2989,3836,"clinical visit (counted)"
"Transcribe Orders",3592,3217,"administrative (excluded)"
"Procedure visit",4343,2373,"clinical visit (counted)"
"Infusion",2910,3668,"clinical visit (counted)"
"Lab",2212,4190,"clinical visit (counted)"
"Diagnostic",2471,3207,"clinical visit (counted)"
"Nurse Triage",4964,265,"clinical visit (counted)"
"Surgery",2415,2785,"clinical visit (counted)"
"Series",4708,223,"administrative (excluded)"
"External Outreach",2357,2288,"administrative (excluded)"
"Virtual Visit",1865,2589,"clinical visit (counted)"
"MCJ Patient",284,3741,"clinical visit (counted)"
"Primary Care",419,3587,"clinical visit (counted)"
"Silent Schedule",3007,955,"administrative (excluded)"
