"code_family","n_rows","treated_as","reason"
"G40 (ICD-10 epilepsy)",935,"outcome","epilepsy-specific"
"345 / 0345 (ICD-9 epilepsy)",124,"outcome","epilepsy-specific"
"R56.9 (unspecified convulsions)",867,"outcome only in the lenient rule","non-specific; protocol 4.1 says it does not satisfy the outcome"
"780.39 (ICD-9 other convulsions)",265,"outcome only in the lenient rule","non-specific"
"F44.5 / 300.11 (functional, conversion)",407,"EXCLUDED","not an epileptic seizure"
"Z82.0 (family history)",113,"EXCLUDED","not a diagnosis of the patient"
"G43 (migraine)",108,"EXCLUDED","unrelated"
"E936 / 966 (anticonvulsant adverse effect/poisoning)",25,"EXCLUDED","not a seizure diagnosis"
"R56.1 / 780.32 / 780.33 (post-traumatic, febrile)",0,"EXCLUDED","provoked, non-epileptic"
"syncope (R55 / 780.2)",0,"absent from the extract","nothing to filter"
"blank codes",0,"absent from the extract","nothing to filter"
