"code","description","ctl_rows","iih_rows","ctl_pts","iih_pts","ctl_only","iih_only","currently"
"R56.9","Unspecified convulsions (HCC)",261,85,102,36,40,22,"COUNTED"
"780.39","OTHER CONVULSIONS",159,38,54,10,35,9,"COUNTED"
"F44.5","Conversion disorder with seizures or convulsions",63,43,32,18,0,0,"excluded"
"F44.5","Functional Neurological Conversion Disorder",69,59,28,18,0,0,"excluded"
"R56.9","Seizure (HCC)",97,12,36,6,1,0,"COUNTED"
"G40.909","Epilepsy, unspecified, not intractable, without status epilepticus (HCC)",83,19,33,8,4,1,"COUNTED"
"R56.9","UNSPECIFIED CONVULSIONS",58,8,27,4,15,4,"COUNTED"
"R56.9","Spells Neurological (HCC)",17,5,17,5,0,1,"COUNTED"
"G40.89","Other seizures (HCC)",20,7,14,4,1,0,"COUNTED"
"G40.909","Seizure Disorder (HCC)",54,13,15,3,1,0,"COUNTED"
"Z82.0","Family history of epilepsy and other diseases of the nervous system",17,4,11,4,0,0,"excluded"
"345.90","EPILEPSY, UNSPECIFIED, WITHOUT MENTION OF INTRACTABLE EPILEP",17,1,13,1,3,0,"COUNTED"
"G40.109","Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, without status epilepticus (HCC)",16,3,12,1,1,0,"COUNTED"
"G40.89","Other Seizures (HCC)",15,2,12,1,1,0,"COUNTED"
"G40.909","Epilepsy Seizure Not Intractable Without Status Epilepticus (HCC)",33,5,10,3,0,0,"COUNTED"
"G40.309","Generalized idiopathic epilepsy and epileptic syndromes, not intractable, without status epilepticus (HCC)",20,4,8,1,1,0,"COUNTED"
"G43.109","Migraine With Aura Not Intractable Without Status Migrainosus",4,5,4,5,0,0,"excluded"
"345.41","LOCALIZATION-RELATED (FOCAL) (PARTIAL) EPILEPSY AND EPILEPTI",30,0,7,0,0,0,"COUNTED"
"G40.209","Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, without status epilepticus (HCC)",8,3,5,1,0,0,"COUNTED"
"G40.309","Idiopathic Generalized Epilepsy Not Intractable Without Status Epilepticus (HCC)",11,3,5,1,0,0,"COUNTED"
"G43.109","Migraine Headache With Aura",2,4,2,4,0,0,"excluded"
"345.40","LOCALIZATION-RELATED (FOCAL) (PARTIAL) EPILEPSY AND EPILEPTI",7,0,5,0,0,0,"COUNTED"
"345.50","LOCALIZATION-RELATED (FOCAL) (PARTIAL) EPILEPSY AND EPILEPTI",13,5,4,1,0,0,"COUNTED"
