"outcome","baseline_ratio","events_iih","events_ctl","hr_unadj","lo_unadj","hi_unadj","hr_adj","lo_adj","hi_adj","pct_change","unadjusted","adjusted"
"Upper respiratory infection",2.03,173,213,2.02108165052779,1.64885242833378,2.47734179718432,1.49027695346238,1.20700133999537,1.84003556949623,-26.3,"2.02 (1.65 to 2.48)","1.49 (1.21 to 1.84)"
"Otitis media or externa",3.68,72,51,3.08572486333757,2.14973372842241,4.42924526248521,1.77240056717635,1.22989016292802,2.55421489269273,-42.6,"3.09 (2.15 to 4.43)","1.77 (1.23 to 2.55)"
"Sprain or strain",2.84,54,47,2.47300263137023,1.66575650951878,3.67145016682593,1.63375210973155,1.09551146390165,2.43643817888144,-33.9,"2.47 (1.67 to 3.67)","1.63 (1.10 to 2.44)"
"Laceration or open wound",4.97,33,16,4.28157597285898,2.36691301074124,7.74506402566203,3.19254079010175,1.79963826351327,5.6635363356667,-25.4,"4.28 (2.37 to 7.75)","3.19 (1.80 to 5.66)"
"Contact dermatitis",2.55,18,20,1.85033654547166,0.978931329856044,3.4974315634698,1.08251870241482,0.542632265063259,2.15955964384323,-41.5,"1.85 (0.98 to 3.50)","1.08 (0.54 to 2.16)"
"Fracture, excl. skull/face",1.82,24,40,1.22476196576165,0.756509345743447,1.98284645287786,0.873268979468898,0.524358237721498,1.4543467721922,-28.7,"1.22 (0.76 to 1.98)","0.87 (0.52 to 1.45)"
"Herpes zoster",3.24,17,12,2.98261966132921,1.4070341391147,6.32253319009366,1.91009378010948,0.8236998676243,4.42935393365513,-36,"2.98 (1.41 to 6.32)","1.91 (0.82 to 4.43)"
"Renal/ureteric stone",2.04,63,44,3.08955507900151,2.0949538677889,4.55635359467777,2.4804982525842,1.59516943455567,3.85718999360537,-19.7,"3.09 (2.09 to 4.56)","2.48 (1.60 to 3.86)"
"Gallstones",1.58,39,40,1.99969883976446,1.28577180291734,3.11003510940456,1.44991787512078,0.91388482195772,2.30035754406262,-27.5,"2.00 (1.29 to 3.11)","1.45 (0.91 to 2.30)"
"Acute appendicitis",2.27,4,8,1.05716960694159,0.319044217211243,3.50298647507235,0.858286305494687,0.243375656971452,3.02682442182838,-18.8,"1.06 (0.32 to 3.50)","0.86 (0.24 to 3.03)"
"Carpal tunnel",2.54,40,29,2.84245630095793,1.76647319834837,4.57383549912317,1.9943721739384,1.18996034638634,3.3425654730922,-29.8,"2.84 (1.77 to 4.57)","1.99 (1.19 to 3.34)"
"SEIZURE OR EPILEPSY",NA,66,63,2.28100846135278,1.61708919127474,3.21750935497967,2.56841499919605,1.74745202256434,3.77507108802601,12.6,"2.28 (1.62 to 3.22)","2.57 (1.75 to 3.78)"
