"outcome","0-6 mo","6-12 mo","1-2 y","2-3 y","trend_slope_per_year"
"SEIZURE OR EPILEPSY",2.37,2,2.7,1.81,-0.049
"Carpal tunnel",1.56,4.4,1.08,6.95,0.456
"Contact dermatitis",1.47,1.45,1.92,2.99,0.337
"Fracture, excl. skull/face",2.15,1.23,0.98,0.88,-0.363
"Gallstones",1.01,2.56,2.6,2.02,0.199
"Herpes zoster",4.92,1.46,3.91,1.8,-0.289
"Laceration or open wound",3.07,1.26,11.1,6.43,0.675
"Otitis media or externa",2.6,2.12,5.81,3.47,0.221
"Renal/ureteric stone",3.51,2.58,2.46,4.77,0.072
"Sprain or strain",2.75,2.58,2.27,2.35,-0.083
"Upper respiratory infection",1.66,2.34,1.24,4.52,0.309
