"measure","IIH_n","Comparator_n","IIH_rate","Comparator_rate","rate_ratio","note"
"All clinical visits",102924,78190,"22.56 (22.42 to 22.69)","8.34 (8.28 to 8.40)","2.70 (2.68 to 2.73)",""
"Emergency encounters",676,242,"0.15 (0.14 to 0.16)","0.03 (0.02 to 0.03)","5.74 (4.96 to 6.65)",""
"Hospital or inpatient encounters",13961,12635,"3.06 (3.01 to 3.11)","1.35 (1.32 to 1.37)","2.27 (2.22 to 2.33)",""
"Office or clinic visits",45921,32263,"10.06 (9.97 to 10.16)","3.44 (3.40 to 3.48)","2.92 (2.88 to 2.97)",""
"Procedural or diagnostic encounters",19380,17145,"4.25 (4.19 to 4.31)","1.83 (1.80 to 1.86)","2.32 (2.28 to 2.37)",""
"Laboratory encounters",474,851,"0.10 (0.09 to 0.11)","0.09 (0.08 to 0.10)","1.14 (1.02 to 1.28)",""
"Neurology visits",NA,NA,"not available","not available","not estimable","no encounter type names a specialty; none of the 171 types is Neurology"
"Ophthalmology visits",NA,NA,"not available","not available","not estimable","same; the Historic Ophthalmology types are imported records, not visits"
"Brain MRI or CT",NA,NA,"not available","not available","not estimable","radiology extract covers comparators only (1,234 patients, 0 IIH); the Radiology encounter type has 386 case against 12 comparator rows and cannot be a record of scans"
"EEG",NA,NA,"not available","not available","not estimable","recorded for 393 IIH patients and 0 comparators"
