"outcome","iih_events","ctl_events","IIH_per1000py","Comparator_per1000py","rate_ratio"
"SEIZURE OR EPILEPSY (primary outcome)",66,63,"14.46 (11.19 to 18.40)","6.72 (5.16 to 8.60)","2.15 (1.52 to 3.04)"
"Laceration or open wound",33,16,"7.36 (5.06 to 10.33)","1.71 (0.98 to 2.77)","4.31 (2.37 to 7.83)"
"Otitis media or externa",72,51,"16.92 (13.24 to 21.30)","5.53 (4.12 to 7.27)","3.06 (2.14 to 4.38)"
"Renal/ureteric stone",63,44,"14.33 (11.01 to 18.34)","4.77 (3.47 to 6.40)","3.00 (2.04 to 4.42)"
"Herpes zoster",17,12,"3.73 (2.18 to 5.98)","1.28 (0.66 to 2.23)","2.92 (1.39 to 6.11)"
"Carpal tunnel",40,29,"9.04 (6.46 to 12.30)","3.12 (2.09 to 4.48)","2.90 (1.80 to 4.67)"
"Sprain or strain",54,47,"12.46 (9.36 to 16.25)","5.10 (3.75 to 6.78)","2.44 (1.65 to 3.61)"
"Gallstones",39,40,"8.80 (6.26 to 12.03)","4.35 (3.11 to 5.92)","2.02 (1.30 to 3.14)"
"Upper respiratory infection",173,213,"51.92 (44.47 to 60.26)","26.01 (22.63 to 29.75)","2.00 (1.63 to 2.44)"
"Contact dermatitis",18,20,"3.95 (2.34 to 6.24)","2.14 (1.31 to 3.30)","1.85 (0.98 to 3.49)"
"Fracture, excl. skull/face",24,40,"5.30 (3.39 to 7.88)","4.31 (3.08 to 5.87)","1.23 (0.74 to 2.04)"
"Acute appendicitis",4,8,"0.87 (0.24 to 2.22)","0.85 (0.37 to 1.68)","1.02 (0.31 to 3.39)"
