"variable","stratifier","stratum","n_missing","pct_missing"
"age_index","Exposure","Non-IIH control",0,0
"age_index","Exposure","IIH",0,0
"bmi_index","Exposure","Non-IIH control",0,0
"bmi_index","Exposure","IIH",0,0
"sex","Exposure","Non-IIH control",0,0
"sex","Exposure","IIH",0,0
"index_year","Exposure","Non-IIH control",0,0
"index_year","Exposure","IIH",0,0
"enc_pre12","Exposure","Non-IIH control",6,0.06
"enc_pre12","Exposure","IIH",6,0.22
"enc_post","Exposure","Non-IIH control",19,0.2
"enc_post","Exposure","IIH",9,0.33
"osa","Exposure","Non-IIH control",0,0
"osa","Exposure","IIH",0,0
"htn","Exposure","Non-IIH control",0,0
"htn","Exposure","IIH",0,0
"pcos","Exposure","Non-IIH control",0,0
"pcos","Exposure","IIH",0,0
"smoking","Exposure","Non-IIH control",435,4.47
"smoking","Exposure","IIH",35,1.28
"alcohol","Exposure","Non-IIH control",9742,100
"alcohol","Exposure","IIH",584,21.38
"followup_years","Exposure","Non-IIH control",0,0
"followup_years","Exposure","IIH",0,0
"age_index","Calendar period","<2015",0,0
"age_index","Calendar period",">=2015",0,0
"bmi_index","Calendar period","<2015",0,0
"bmi_index","Calendar period",">=2015",0,0
"sex","Calendar period","<2015",0,0
"sex","Calendar period",">=2015",0,0
"index_year","Calendar period","<2015",0,0
"index_year","Calendar period",">=2015",0,0
"enc_pre12","Calendar period","<2015",0,0
"enc_pre12","Calendar period",">=2015",12,0.11
"enc_post","Calendar period","<2015",0,0
"enc_post","Calendar period",">=2015",28,0.27
"osa","Calendar period","<2015",0,0
"osa","Calendar period",">=2015",0,0
"htn","Calendar period","<2015",0,0
"htn","Calendar period",">=2015",0,0
"pcos","Calendar period","<2015",0,0
"pcos","Calendar period",">=2015",0,0
"smoking","Calendar period","<2015",249,12.28
"smoking","Calendar period",">=2015",221,2.12
"alcohol","Calendar period","<2015",1776,87.57
"alcohol","Calendar period",">=2015",8550,81.85
"followup_years","Calendar period","<2015",0,0
"followup_years","Calendar period",">=2015",0,0
"age_index","Outcome status (diagnostic only)","event",0,0
"age_index","Outcome status (diagnostic only)","no event",0,0
"bmi_index","Outcome status (diagnostic only)","event",0,0
"bmi_index","Outcome status (diagnostic only)","no event",0,0
"sex","Outcome status (diagnostic only)","event",0,0
"sex","Outcome status (diagnostic only)","no event",0,0
"index_year","Outcome status (diagnostic only)","event",0,0
"index_year","Outcome status (diagnostic only)","no event",0,0
"enc_pre12","Outcome status (diagnostic only)","event",1,0.54
"enc_pre12","Outcome status (diagnostic only)","no event",11,0.09
"enc_post","Outcome status (diagnostic only)","event",1,0.54
"enc_post","Outcome status (diagnostic only)","no event",27,0.22
"osa","Outcome status (diagnostic only)","event",0,0
"osa","Outcome status (diagnostic only)","no event",0,0
"htn","Outcome status (diagnostic only)","event",0,0
"htn","Outcome status (diagnostic only)","no event",0,0
"pcos","Outcome status (diagnostic only)","event",0,0
"pcos","Outcome status (diagnostic only)","no event",0,0
"smoking","Outcome status (diagnostic only)","event",13,7.03
"smoking","Outcome status (diagnostic only)","no event",457,3.72
"alcohol","Outcome status (diagnostic only)","event",95,51.35
"alcohol","Outcome status (diagnostic only)","no event",10231,83.25
"followup_years","Outcome status (diagnostic only)","event",0,0
"followup_years","Outcome status (diagnostic only)","no event",0,0
