"variable","Non-IIH control","IIH","abs_difference","assessment"
"age_index",0,0,0,"comparable across arms"
"bmi_index",0,0,0,"comparable across arms"
"sex",0,0,0,"comparable across arms"
"index_year",0,0,0,"comparable across arms"
"enc_pre12",0.06,0.22,0.16,"comparable across arms"
"enc_post",0.2,0.33,0.13,"comparable across arms"
"osa",0,0,0,"comparable across arms"
"htn",0,0,0,"comparable across arms"
"pcos",0,0,0,"comparable across arms"
"smoking",4.47,1.28,3.19,"comparable across arms"
"alcohol",100,21.38,78.62,"STRUCTURAL / strongly differential -- do NOT impute"
"followup_years",0,0,0,"comparable across arms"
