"variable","analytic_role","availability","blank_in_cases","blank_in_controls"
"match_tier","design","CONTROLS ONLY",3601,0
"clinic_number","id","CONTROLS ONLY",3601,0
"dob","design","CONTROLS ONLY",3601,0
"race","matching","CONTROLS ONLY",3601,1
"ethnicity","matching","CONTROLS ONLY",3601,2
"alcohol","confounder","CASES ONLY",988,9742
"op_cmh2o","severity","CASES ONLY",1084,9742
"op_first_lp","severity","CASES ONLY",1765,9742
"op_max","severity","CASES ONLY",1765,9742
"enceph_index","mediator","CASES ONLY",0,9742
"enceph_side","mediator","CASES ONLY",3543,9742
"enceph_site","mediator","CASES ONLY",3544,9742
"empty_sella","imaging","CASES ONLY",0,9742
"globe_flat","imaging","CASES ONLY",0,9742
"onsd_distend","imaging","CASES ONLY",0,9742
"sinus_sten","imaging","CASES ONLY",0,9742
"skullbase_thin","imaging","CASES ONLY",0,9742
"csf_leak","imaging","CASES ONLY",0,9742
"mrv_done","imaging","CASES ONLY",0,9742
"eeg_done","outcome-support","CASES ONLY",0,9742
"eeg_epileptiform","outcome-support","CASES ONLY",0,9742
"eeg_side","outcome-support","CASES ONLY",0,9742
"temporal_onset","outcome-support","CASES ONLY",0,9742
"concordant","outcome-support","CASES ONLY",0,9742
"seizure_ever","outcome","CASES ONLY",0,9742
"presenting_seizure","outcome","CASES ONLY",0,9742
"excl_prior_seizure","eligibility","CONTROLS ONLY",3601,0
"excl_prior_asm","eligibility","CONTROLS ONLY",3601,0
"outcome_criterion","outcome","CONTROLS ONLY",3601,0
"seizure_latency_days","outcome","CONTROLS ONLY",3601,9659
"pnes_ever","outcome","CONTROLS ONLY",3601,0
"bariatric_date","treatment","CONTROLS ONLY",3601,9520
"mri_brain_ever","imaging","CONTROLS ONLY",3601,0
"mri_brain_first_date","imaging","CONTROLS ONLY",3601,8521
"mri_brain_n","imaging/surveillance","CONTROLS ONLY",3601,0
"first_encounter_date","censoring","CASES ONLY",1,9742
"n_encounters_total","surveillance","CASES ONLY",1,9742
