"table","contents","file"
"T1","Baseline characteristics and SMDs","T1_baseline_balance.csv"
"T2","Cohort flow","T2_cohort_flow.csv"
"T3","Incidence rates with exact Poisson CIs","T3_incidence_rates.csv"
"T4","Primary models combined","T4_primary_models_combined.csv"
"T4b","Cause-specific and Fine-Gray","T4b_competing_risk.csv"
"T4c","Cumulative incidence","T4c_cumulative_incidence.csv"
"T4d","Risk difference and NNH","T4d_risk_difference.csv"
"T4e","E-value","T4e_evalue.csv"
"T5a","Negative control outcome","T5a_negative_control.csv"
"T5b","Time-split hazard","T5b_time_split.csv"
"T5c","EEG descriptive (IIH only)","T5c_eeg_descriptive.csv"
"T5d","Exploratory within-IIH","T5d_exploratory_within_iih.csv"
"T5e","Encephalocele descriptive","T5e_encephalocele_descriptive.csv"
"T6","Sensitivity analyses","T6_sensitivity_analyses.csv"
"T6b","Tipping point","T6b_tipping_point.csv"
"T6c","Outcome misclassification bias analysis","T6c_outcome_misclassification.csv"
"T7","Validation and reliability (not computable)","T7_validation_and_reliability.csv"
