"variable","type","iih","control","n_missing_iih","n_missing_control","smd","balance","note"
"Age at index, y","continuous","34.7 (10.2)","34.8 (9.7)",0,0,-0.008,"balanced (|SMD|<0.1)",""
"BMI at index, kg/m2","continuous","36.3 (7.3)","36.3 (6.6)",0,0,0,"balanced (|SMD|<0.1)",""
"Female","binary","2360 (86.4%)","8324 (85.4%)",0,0,0.027,"balanced (|SMD|<0.1)",""
"Index year","continuous","2019.4 (4.4)","2019.3 (4.5)",0,0,0.021,"balanced (|SMD|<0.1)",""
"Obstructive sleep apnoea (coded)","binary","727 (26.6%)","1226 (12.6%)",0,0,0.359,"IMBALANCED",""
"Hypertension (coded)","binary","543 (19.9%)","1339 (13.7%)",0,0,0.165,"IMBALANCED",""
"PCOS (coded)","binary","298 (10.9%)","621 (6.4%)",0,0,0.162,"IMBALANCED",""
"Encounters, 12 mo before index","continuous","27.1 (36.2)","7.7 (19.3)",6,6,0.668,"IMBALANCED",""
"Encounters after index (POST-EXPOSURE)","continuous","168.7 (231.5)","34.5 (57.7)",9,19,0.796,"IMBALANCED","post-index; not a matching target; imbalance expected"
"Follow-up, y (POST-EXPOSURE)","continuous","5.8 (4.3)","4.3 (3.1)",0,0,0.419,"IMBALANCED","post-index; not a matching target; imbalance expected"
