"section","quantity","n","events","estimate","p"
"Cox models","Cox, 3-y truncated (PRIMARY)",12474,126,"2.75 (1.94 to 3.90)","<0.001"
"Cox models","Cox stratified by matched set, 3 y",12473,126,"3.11 (2.15 to 4.48)","<0.001"
"Cox models","Cox, 5-y truncated",12474,156,"3.12 (2.28 to 4.25)","<0.001"
"Cox models","Cox, full follow-up",12474,185,"3.59 (2.70 to 4.77)","<0.001"
"Cox models","Cox, 3 y, + age/BMI/sex",12474,126,"2.75 (1.94 to 3.91)","<0.001"
"Cox models","Cox, 3 y, IPTW (stabilised, trimmed)",12474,126,"2.77 (1.96 to 3.93)","<0.001"
"Competing risk (3 y)","Cause-specific HR, seizure (PRIMARY)",NA,NA,"2.75 (1.94 to 3.90)",NA
"Competing risk (3 y)","Cause-specific HR, death (competing event)",NA,NA,"0.23 (0.11 to 0.49)",NA
"Competing risk (3 y)","Subdistribution HR, seizure (Fine-Gray)",NA,NA,"2.76 (1.95 to 3.91)",NA
"Absolute risk (3 y)","IIH cumulative incidence, %",NA,NA,"2.25",NA
"Absolute risk (3 y)","Control cumulative incidence, %",NA,NA,"0.82",NA
"Absolute risk (3 y)","3-year absolute risk difference (percentage points)",NA,NA,"1.43 (0.81 to 2.05)",NA
"Absolute risk (3 y)","Number needed to harm",NA,NA,"70",NA
"Unmeasured confounding","E-value, point estimate",NA,NA,"4.94",NA
"Unmeasured confounding","E-value, CI limit nearest the null",NA,NA,"3.29",NA
