"file","rows","md5_12","role"
"IIH_MASTER_FINAL.xlsx",NA,"b314ba066d03","master cohort, index dates, matching vars, outcome"
"MDE_Encounters_types_full.csv",1199125,"79ca279ce326","dated encounters + Encounter Type, CASES"
"MDE_Encounters_controls_typed.csv",995409,"84fc9b547c35","dated encounters + Encounter Type, COMPARATORS"
"MDE_Flowsheets_BMI.csv",387125,"47e515642d08","dated BMI, both arms"
"SZ_dx_62.csv",2591,"91adb958b138","seizure diagnosis codes"
"SZ_conditions_10.csv",258,"e4a35762e95c","seizure conditions"
"MDE_Medications_cases_22.csv",236973,"fe2b40d81bd8","medications, cases"
"IIH_medications_detail.csv",27354,"486ae53d80bf","medications, comparators"
"MDE_Diagnosis_carpal_12.csv",2187,"7471946e22aa","carpal tunnel (negative control)"
"NC_dx_21.csv",566,"e0c55626c6ad","negative control outcome"
"NC_dx_58.csv",5792,"e06020569cfc","negative control outcome"
"NC_dx_59.csv",1996,"fd9d42816630","negative control outcome"
"NC_dx_60.csv",325,"0ced1e4a0adc","negative control outcome"
"NC_dx_61.csv",602,"864fb78fb3a6","negative control outcome"
"NC2_dx_13.csv",12157,"6751817cebc7","negative control outcome"
"NC2_dx_14.csv",1978,"645701e75df5","negative control outcome"
"NC2_dx_16.csv",3392,"c4e82743d0a0","negative control outcome"
"NC2_dx_17.csv",1101,"184924054785","negative control outcome"
"NC2_dx_18.csv",624,"ba29629d257a","negative control outcome"
"NC2_dx_20.csv",2876,"e2c154c3f647","negative control outcome"
