"Variable","IIH","Comparator","SMD","Available_IIH","Available_Comparator"
"n","2,138","5,743","—","100%","100%"
"Person-years","4563.0","9375.2","—","100%","100%"
"Follow-up, years, median (IQR)","2.77 (1.23-3.00)","1.51 (0.52-3.00)","—","100%","100%"
"Age at index, years, mean (SD)","34.9 (10.2)","35.5 (9.5)","-0.065","100%","100%"
"Female","1875 (87.7%)","4972 (86.6%)","0.034","100%","100%"
"BMI, kg/m2, mean (SD)","36.5 (7.3)","36.2 (6.5)","0.050","100%","100%"
"Obese (BMI >= 30)","1712 (80.1%)","4478 (78.0%)","0.052","100%","100%"
"Hypertension","473 (22.1%)","940 (16.4%)","0.146","100%","100%"
"Obstructive sleep apnoea","630 (29.5%)","884 (15.4%)","0.342","100%","100%"
"Polycystic ovary syndrome","264 (12.3%)","418 (7.3%)","0.171","100%","100%"
"Bariatric surgery","74 (3.5%)","124 (2.2%)","0.079","100%","100%"
"Clinical visits, 12 months before index, mean (SD)","20.6 (26.5)","9.2 (15.2)","0.526","100%","100%"
"Clinical visits, 12 months before index, median (IQR)","12.00 (5.00-26.00)","4.00 (1.00-10.00)","—","100%","100%"
"Current smoker (NOT COMPARABLE - see note)","16 (0.7%)","433 (7.5%)","-0.346","100%","100%"
"Opening pressure, cmH2O, mean (SD) (IIH only)","29.5 (9.7)","NaN (NA)","—","74%","0%"
"Died during follow-up","38 (1.8%)","89 (1.5%)","0.018","100%","100%"
